Jean Hayward 	9546321555  	0   	0  	0.00  	0.01  	0.00  	 0.00
Marlon Brando 	5612971340  	5   	50  	2.00  	0.01  	0.02  	 2.02
John Kennedy 	3051234567  	8   	25  	1.60  	0.03  	0.05  	 1.65
Hillary Clinton 	7542346622  	24   	17  	3.26  	0.08  	0.26  	 3.53
George Bush 	3054432762  	15   	30  	3.60  	0.05  	0.18  	 3.78
Barack Obama 	9544321011  	50   	100  	40.00  	0.08  	3.20  	 43.20
Donald Trump 	8776219988  	87   	82  	57.07  	0.12  	6.85  	 63.92
Bernie Sanders 	9042224556  	4   	5  	0.16  	0.01  	0.00  	 0.16
Harry Ford 	7877176590  	11   	1  	0.09  	0.03  	0.00  	 0.09
Michelle Obama 	5617278899  	20   	45  	7.20  	0.05  	0.36  	 7.56
Ann Dunham 	9546321555  	4   	3  	0.10  	0.01  	0.00  	 0.10
Vladimir Putin 	5612971340  	79   	86  	54.35  	0.12  	6.52  	 60.87
Harriet Tubman 	3051234567  	8   	25  	1.60  	0.03  	0.05  	 1.65
Oprah Winfrey 	5611234444  	24   	118  	22.66  	0.08  	1.81  	 24.47
Charlotte Ray 	3054432762  	115   	25  	23.00  	0.12  	2.76  	 25.76
Tina Turner 	8776219988  	265   	22  	46.64  	0.12  	5.60  	 52.24
Shirley Chisholm 	9042224556  	2   	5  	0.08  	0.01  	0.00  	 0.08
Maritza Correla 	7877176590  	89   	67  	47.70  	0.12  	5.72  	 53.43
Margaret Thatcher 	5617278899  	40   	56  	17.92  	0.08  	1.43  	 19.35
